relative_path,classID
dataset/kick-001.wav,kick
dataset/kick-001-a-1.wav,kick
dataset/kick-001-a-2.wav,kick
dataset/kick-001-a-3.wav,kick
dataset/kick-001-a-4.wav,kick
dataset/kick-001-a-5.wav,kick
dataset/kick-001-a-6.wav,kick
dataset/kick-001-n-1.wav,kick
dataset/kick-001-n-2.wav,kick
dataset/kick-001-n-3.wav,kick
dataset/kick-001-n-4.wav,kick
dataset/kick-001-n-5.wav,kick
dataset/kick-001-n-6.wav,kick
dataset/kick-001-n-7.wav,kick
dataset/kick-001-n-8.wav,kick
dataset/kick-001-o.wav,kick
dataset/kick-001-p-1.wav,kick
dataset/kick-001-p-2.wav,kick
dataset/kick-001-p-3.wav,kick
dataset/kick-001-p-4.wav,kick
dataset/kick-001-p-5.wav,kick
dataset/kick-001-p-6.wav,kick
dataset/kick-001-p-7.wav,kick
dataset/kick-001-t-1.wav,kick
dataset/kick-001-t-2.wav,kick
dataset/kick-001-t-3.wav,kick
dataset/kick-001-t-4.wav,kick
dataset/kick-001-t-5.wav,kick
dataset/kick-001-t-6.wav,kick
dataset/kick-001-t-7.wav,kick
dataset/kick-001-t-8.wav,kick
dataset/kick-002.wav,kick
dataset/kick-002-a-1.wav,kick
dataset/kick-002-a-2.wav,kick
dataset/kick-002-a-3.wav,kick
dataset/kick-002-a-4.wav,kick
dataset/kick-002-a-5.wav,kick
dataset/kick-002-a-6.wav,kick
dataset/kick-002-a-7.wav,kick
dataset/kick-002-a-8.wav,kick
dataset/kick-002-n-1.wav,kick
dataset/kick-002-n-2.wav,kick
dataset/kick-002-n-3.wav,kick
dataset/kick-002-n-4.wav,kick
dataset/kick-002-n-5.wav,kick
dataset/kick-002-n-6.wav,kick
dataset/kick-002-o.wav,kick
dataset/kick-002-p-1.wav,kick
dataset/kick-002-p-2.wav,kick
dataset/kick-002-p-3.wav,kick
dataset/kick-002-p-4.wav,kick
dataset/kick-002-p-5.wav,kick
dataset/kick-002-p-6.wav,kick
dataset/kick-002-p-7.wav,kick
dataset/kick-002-p-8.wav,kick
dataset/kick-002-t-1.wav,kick
dataset/kick-002-t-2.wav,kick
dataset/kick-002-t-3.wav,kick
dataset/kick-002-t-4.wav,kick
dataset/kick-002-t-5.wav,kick
dataset/kick-002-t-6.wav,kick
dataset/kick-002-t-7.wav,kick
dataset/kick-002-t-8.wav,kick
dataset/kick-002-t-9.wav,kick
dataset/kick-003.wav,kick
dataset/kick-003-a-1.wav,kick
dataset/kick-003-a-2.wav,kick
dataset/kick-003-a-3.wav,kick
dataset/kick-003-a-4.wav,kick
dataset/kick-003-a-5.wav,kick
dataset/kick-003-a-6.wav,kick
dataset/kick-003-a-7.wav,kick
dataset/kick-003-a-8.wav,kick
dataset/kick-003-a-9.wav,kick
dataset/kick-003-n-1.wav,kick
dataset/kick-003-n-2.wav,kick
dataset/kick-003-n-3.wav,kick
dataset/kick-003-n-4.wav,kick
dataset/kick-003-n-5.wav,kick
dataset/kick-003-n-6.wav,kick
dataset/kick-003-n-7.wav,kick
dataset/kick-003-o.wav,kick
dataset/kick-003-p-1.wav,kick
dataset/kick-003-p-2.wav,kick
dataset/kick-003-p-3.wav,kick
dataset/kick-003-p-4.wav,kick
dataset/kick-003-p-5.wav,kick
dataset/kick-003-p-6.wav,kick
dataset/kick-003-t-1.wav,kick
dataset/kick-003-t-2.wav,kick
dataset/kick-003-t-3.wav,kick
dataset/kick-003-t-4.wav,kick
dataset/kick-003-t-5.wav,kick
dataset/kick-003-t-6.wav,kick
dataset/kick-003-t-7.wav,kick
dataset/kick-003-t-8.wav,kick
dataset/kick-004.wav,kick
dataset/kick-004-a-1.wav,kick
dataset/kick-004-a-2.wav,kick
dataset/kick-004-a-3.wav,kick
dataset/kick-004-a-4.wav,kick
dataset/kick-004-a-5.wav,kick
dataset/kick-004-a-6.wav,kick
dataset/kick-004-a-7.wav,kick
dataset/kick-004-a-8.wav,kick
dataset/kick-004-a-9.wav,kick
dataset/kick-004-n-1.wav,kick
dataset/kick-004-n-2.wav,kick
dataset/kick-004-n-3.wav,kick
dataset/kick-004-n-4.wav,kick
